Inoculum,Growth phase,ID,Desiccation,CFU,CFU_after desiccation,Viability,,,
ON culture,stationary,BfStat1,Before ,6.00E+06,5.00E+06,8.33E-01,,,
ON culture,stationary,BfStat2,Before ,2.00E+07,4.00E+06,2.00E-01,,,
ON culture,stationary,BfStat3,Before ,8.00E+06,6.00E+06,7.50E-01,,,
ON culture,stationary,BfStat4,Before ,1.10E+07,6.00E+06,5.45E-01,,,
ON culture,stationary,BfStat5,Before ,3.00E+07,5.00E+06,1.67E-01,,,
ON culture,stationary,BfStat6,Before ,1.40E+07,5.00E+06,3.57E-01,,,
ON culture,logarithmic,BfLog1,Before ,6.00E+06,1.00E+03,1.67E-04,,,
ON culture,logarithmic,BfLog2,Before ,4.00E+06,1.10E+03,2.75E-04,,,
ON culture,logarithmic,BfLog3,Before ,4.00E+06,3.00E+02,7.50E-05,,,
ON culture,logarithmic,BfLog4,Before ,5.00E+06,3.00E+02,6.00E-05,,,
ON culture,logarithmic,BfLog5,Before ,3.00E+06,1.20E+03,4.00E-04,,,
ON culture,logarithmic,BfLog6,Before ,2.00E+06,1.90E+03,9.50E-04,,,
ON culture,stationary,AfStat1,After,5.00E+06,,,,,
ON culture,stationary,AfStat2,After,4.00E+06,,,,,
ON culture,stationary,AfStat3,After,6.00E+06,,,,,
ON culture,stationary,AfStat4,After,6.00E+06,,,,,
ON culture,stationary,AfStat5,After,5.00E+05,,,,,
ON culture,stationary,AfStat6,After,5.00E+06,,,,,
ON culture,logarithmic,AfLog1,After,1.00E+03,,,,,
ON culture,logarithmic,AfLog2,After,1.10E+03,,,,,
ON culture,logarithmic,AfLog3,After,3.00E+02,,,,,
ON culture,logarithmic,AfLog4,After,3.00E+02,,,,,
ON culture,logarithmic,AfLog5,After,1.20E+03,,,,,
ON culture,logarithmic,AfLog6,After,1.90E+03,,,,,
