time,Units,Repeat,Weight loss %,Weight  %,Date
0,hr,1,0,100,2_28_23
15,hr,1,77.93240557,22.06759443,2_28_23
17,hr,1,77.93240557,22.06759443,2_28_23
0,hr,2,0,100,2_28_23
15,hr,2,78.40466926,21.59533074,2_28_23
17,hr,2,78.41121495,21.58878505,2_28_23
0,hr,1,0,100,2_28_23
0,hr,2,0,100,2_28_23
0,hr,3,0,100,2_28_23
0,hr,1,0,100,3_22_23
0,hr,2,0,100,3_22_23
0,hr,3,0,100,3_22_23
4.25,hr,1,47.03832753,52.96167247,3_22_23
4.25,hr,2,45.25386313,54.74613687,3_22_23
4.25,hr,3,48.20393975,51.79606025,3_22_23
6.433333333,hr,1,62.13704994,37.86295006,3_22_23
6.433333333,hr,2,61.14790287,38.85209713,3_22_23
6.433333333,hr,3,63.38354577,36.61645423,3_22_23
8.416666667,hr,1,78.86178862,21.13821138,3_22_23
8.416666667,hr,2,78.69757174,21.30242826,3_22_23
8.416666667,hr,3,78.44727694,21.55272306,3_22_23
20.51666667,hr,1,78.51335656,21.48664344,3_22_23
20.51666667,hr,2,78.69757174,21.30242826,3_22_23
20.51666667,hr,3,78.09965238,21.90034762,3_22_23
22.1,hr,1,78.51335656,21.48664344,3_22_23
22.1,hr,2,78.69757174,21.30242826,3_22_23
22.1,hr,3,78.09965238,21.90034762,3_22_23
0,hr,1,0,100,5_24_23
3.216666667,hr,1,59.73741794,40.26258206,5_24_23
19.5,hr,1,81.94748359,18.05251641,5_24_23
21.68333333,hr,1,82.05689278,17.94310722,5_24_23
0,hr,2,0,100,5_24_23
3.216666667,hr,2,52.20458554,47.79541446,5_24_23
19.5,hr,2,81.21693122,18.78306878,5_24_23
21.68333333,hr,2,81.30511464,18.69488536,5_24_23
0,hr,1,0,100,6_19_23
0,hr,2,0,100,6_19_23
0,hr,3,0,100,6_19_23
3,hr,1,18.63354037,81.36645963,6_19_23
3,hr,2,18.74439462,81.25560538,6_19_23
3,hr,3,25.63405797,74.36594203,6_19_23
6,hr,1,37.35581189,62.64418811,6_19_23
6,hr,2,37.75784753,62.24215247,6_19_23
6,hr,3,44.92753623,55.07246377,6_19_23
8,hr,1,49.33451642,50.66548358,6_19_23
8,hr,2,49.77578475,50.22421525,6_19_23
8,hr,3,56.79347826,43.20652174,6_19_23
21.1,hr,1,78.34960071,21.65039929,6_19_23
21.1,hr,2,78.38565022,21.61434978,6_19_23
21.1,hr,3,78.80434783,21.19565217,6_19_23
22.53,hr,1,78.79325643,21.20674357,6_19_23
22.53,hr,2,78.38565022,21.61434978,6_19_23
22.53,hr,3,78.98550725,21.01449275,6_19_23
26.75,hr,1,78.97071872,21.02928128,6_19_23
26.75,hr,2,78.56502242,21.43497758,6_19_23
26.75,hr,3,79.25724638,20.74275362,6_19_23
28.92,hr,1,79.41437445,20.58562555,6_19_23
28.92,hr,2,79.10313901,20.89686099,6_19_23
28.92,hr,3,79.52898551,20.47101449,6_19_23
29.5,hr,1,79.68056788,20.31943212,6_19_23
29.5,hr,2,79.19282511,20.80717489,6_19_23
29.5,hr,3,79.89130435,20.10869565,6_19_23
0,hr,1,0,100,9_26_23
0,hr,2,0,100,9_26_23
0,hr,3,0,100,9_26_23
2,hr,1,16.77419355,83.22580645,9_26_23
2,hr,2,16.02150538,83.97849462,9_26_23
2,hr,3,16.12244898,83.87755102,9_26_23
2.333333333,hr,1,36.66666667,63.33333333,9_26_23
2.333333333,hr,2,35.2688172,64.7311828,9_26_23
2.333333333,hr,3,35.20408163,64.79591837,9_26_23
5.666666667,hr,1,46.66666667,53.33333333,9_26_23
5.666666667,hr,2,44.83870968,55.16129032,9_26_23
5.666666667,hr,3,45.10204082,54.89795918,9_26_23
21.25,hr,1,58.38709677,41.61290323,9_26_23
21.25,hr,2,56.66666667,43.33333333,9_26_23
21.25,hr,3,56.42857143,43.57142857,9_26_23
24.5,hr,1,70,30,9_26_23
24.5,hr,2,68.8172043,31.1827957,9_26_23
24.5,hr,3,68.26530612,31.73469388,9_26_23
27,hr,1,74.08602151,25.91397849,9_26_23
27,hr,2,73.5483871,26.4516129,9_26_23
27,hr,3,73.36734694,26.63265306,9_26_23
41.41666667,hr,1,76.88172043,23.11827957,9_26_23
41.41666667,hr,2,76.88172043,23.11827957,9_26_23
41.41666667,hr,3,76.73469388,23.26530612,9_26_23
42,hr,1,76.77419355,23.22580645,9_26_23
42,hr,2,76.98924731,23.01075269,9_26_23
42,hr,3,76.93877551,23.06122449,9_26_23
