Fraction,Repeat,pH,Date
total,1,7.02,4_3_2024
total,2,6.94,4_3_2024
total,3,6.92,4_3_2024
supernatant,1,6.36,4_3_2024
supernatant,2,6.32,4_3_2024
supernatant,3,6.34,4_3_2024
total,1,6.65,4_10_2024
total,2,6.61,4_10_2024
total,3,6.65,4_10_2024
supernatant,1,6.6,4_10_2024
supernatant,2,6.48,4_10_2024
supernatant,3,6.5,4_10_2024
total,1,6.55,4_13_2024
total,2,6.48,4_13_2024
total,3,6.45,4_13_2024
supernatant,1,6.77,4_13_2024
supernatant,2,6.61,4_13_2024
supernatant,3,6.58,4_13_2024
total,1,6.7,4_28_2024
total,2,6.72,4_28_2024
total,3,6.72,4_28_2024
supernatant,1,6.55,4_28_2024
supernatant,2,6.54,4_28_2024
supernatant,3,6.62,4_28_2024
total,1,6.59,5_24_24
total,2,6.62,5_24_24
total,3,6.65,5_24_24
supernatant,1,6.51,5_24_24
supernatant,2,6.56,5_24_24
supernatant,3,6.57,5_24_24
total,1,6.56,5_12_24
total,2,6.51,5_12_24
total,3,6.63,5_12_24
supernatant,1,6.53,5_12_24
supernatant,2,6.47,5_12_24
supernatant,3,6.49,5_12_24
