sample,repitition,mass (ug),slope
Total,1,100,0.006075895
Total,2,100,0.006204667
Total,3,100,0.006011263
Total,1,200,0.006678702
Total,2,200,0.006737544
Total,3,200,0.006493544
Total,1,400,0.008693544
Total,2,400,0.008715439
Total,3,400,0.008501088
sup,1,100,0.005841018
sup,2,100,0.005441614
sup,3,100,0.005436105
sup,1,200,0.006416842
sup,2,200,0.006278421
sup,3,200,0.00638786
sup,1,400,0.008512702
sup,2,400,0.008074877
sup,3,400,0.008307088
sup,1,100,0.005517544
sup,2,100,0.005296877
sup,3,100,0.005363333
sup,1,200,0.006405053
sup,2,200,0.006298561
sup,3,200,0.006202561
sup,1,400,0.008453123
sup,2,400,0.008384
sup,3,400,0.008458807
sup,1,100,0.005501579
sup,2,100,0.005273228
sup,3,100,0.005378596
sup,1,200,0.006138947
sup,2,200,0.006264281
sup,3,200,0.006305298
sup,1,400,0.008222351
sup,2,400,0.008178175
sup,3,400,0.008273719
